Date,Medio,Program,Schedule,Original Title,Duration,Ordered Qty,Insertion,Confidence,Status
2025-12-29,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-29,MEDCOM,Novela Vespertina,1:00pm-05:00pm,MI PECADO,10,1,1,100,matched
2025-12-29,TVN,Fam. de la Tarde,1:00pm-05:00pm,SUENOS ROBADOS,35,1,1,100,matched
2025-12-29,TVN,Jelou,8:00am-11:30am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-29,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-29,TVN,Noticiero Matutino,6:00am-08:00am,LA NOVIA DE ESTAMBUL,10,1,1,100,matched
2025-12-29,TVN,Rot. Vespertina,1:00pm-05:00pm,SUENOS ROBADOS,10,1,1,100,matched
2025-12-30,MEDCOM,Noticiero Matutino,6:00am-08:00am,UNA VIDA PERFECTA,10,1,1,100,matched
2025-12-30,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-30,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,10,1,1,100,matched
2025-12-30,MEDCOM,Tu Mañana,8:00am-11:30am,TU MANANA,35,1,1,100,matched
2025-12-30,TVN,Fam. de la Tarde,1:00pm-05:00pm,SUENOS ROBADOS,35,1,1,100,matched
2025-12-30,TVN,Jelou,8:00am-11:30am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-30,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-30,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-30,TVN,Rot. Vespertina,1:00pm-05:00pm,SUENOS ROBADOS,10,1,1,100,matched
2025-12-02,MEDCOM,Noticiero Estelar,6:00pm-08:00pm,TELEMETRO REPORTA MATUTIN,35,1,1,100,matched
2025-12-02,TVN,Noticiero Estelar,6:00pm-08:00pm,LA NOVIA DE ESTAMBUL,10,1,1,100,matched
2025-12-03,MEDCOM,Loteria,3:00pm-3:30pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-03,MEDCOM,Loteria,3:00pm-3:30pm,LA ROSA DE GUADALUPE,10,1,1,100,matched
2025-12-03,MEDCOM,Noticiero Estelar,6:00pm-08:00pm,TELEMETRO REPORTA ESTELAR,35,1,1,100,matched
2025-12-03,MEDCOM,Noticiero Matutino,6:00am-08:00am,ALMA SALVAJE,10,1,1,100,matched
2025-12-03,MEDCOM,Tarde  Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-03,MEDCOM,Tarde Vespertina,1:00pm-05:00pm,LOTERIA,10,1,1,100,matched
2025-12-03,MEDCOM,Tu Mañana,8:00am-11:30pm,TU MANANA,35,1,1,100,matched
2025-12-03,TVN,Jelou,8:00am-11:30pm,JELOU,35,1,1,100,matched
2025-12-03,TVN,Jelou,8:00am-11:30pm,JELOU,10,1,1,100,matched
2025-12-03,TVN,Loteria,3:00pm-3:30pm,SUENOS ROBADOS,35,1,1,100,matched
2025-12-03,TVN,Loteria,3:00pm-3:30pm,LOTERIA,10,1,1,100,matched
2025-12-03,TVN,Noticiero Estelar,6:00pm-08:00pm,LA NOVIA DE ESTAMBUL,10,1,1,100,matched
2025-12-03,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS A M,35,1,1,100,matched
2025-12-03,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-03,TVN,Rot. Vespertina,1:00pm-5:00pm,SUENOS ROBADOS,10,1,1,100,matched
2025-12-04,MEDCOM,Noticiero Estelar,6:00pm-08:00pm,TELEMETRO REPORTA MATUTIN,35,1,1,100,matched
2025-12-04,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA ESTELAR,35,1,1,100,matched
2025-12-04,MEDCOM,Tarde  Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-04,MEDCOM,Tarde Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,10,1,1,100,matched
2025-12-04,MEDCOM,Tu Mañana,8:00am-11:30pm,TU MANANA,35,1,1,100,matched
2025-12-04,MEDCOM,Tu Mañana,8:00am-11:30pm,TU MANANA,10,1,1,100,matched
2025-12-04,TVN,Jelou,8:00am-11:30pm,JELOU,35,1,1,100,matched
2025-12-04,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-04,TVN,Rot. Vespertina,1:00pm-5:00pm,TU VIDA ES MI VIDA,10,1,1,100,matched
2025-12-05,MEDCOM,Noticiero Estelar,6:00pm-08:00pm,TELEMETRO REPORTA ESTELAR,35,1,1,100,matched
2025-12-05,MEDCOM,Noticiero Matutino,6:00am-08:00am,ALMA SALVAJE,35,1,1,100,matched
2025-12-05,MEDCOM,Noticiero Matutino,6:00am-08:00am,ALMA SALVAJE,10,1,1,100,matched
2025-12-05,MEDCOM,Tarde  Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-05,MEDCOM,Tu Mañana,8:00am-11:30pm,TU MANANA,35,1,1,100,matched
2025-12-05,TVN,Jelou,8:00am-11:30pm,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-05,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-05,TVN,Noticiero Matutino,6:00am-08:00am,JELOU,10,1,1,100,matched
2025-12-10,MEDCOM,Noticiero Estelar,6:00pm-08:00pm,ALMA SALVAJE,10,3,1,100,under
2025-12-10,TVN,Noticiero Estelar,6:00pm-08:00pm,LA NOVIA DE ESTAMBUL,10,3,1,100,under
2025-12-11,MEDCOM,Noticiero Matutino,6:00am-08:00am,UNA VIDA PERFECTA,35,1,1,100,matched
2025-12-11,MEDCOM,Novela Vespertina,1:00pm-05:00pm,MI PECADO,35,1,1,100,matched
2025-12-11,TVN,Fam. de la Tarde,1:00pm-05:00pm,TU VIDA ES MI VIDA,35,1,1,100,matched
2025-12-11,TVN,Jelou,8:00am-11:30am,JELOU,10,1,1,100,matched
2025-12-11,TVN,Noticiero Estelar,6:00pm-08:00pm,TVN NOTICIAS,10,3,1,100,under
2025-12-11,TVN,Noticiero Matutino,6:00am-08:00am,NUEVO RICO NUEVO POBRE,35,1,1,100,matched
2025-12-12,MEDCOM,Noticiero Estelar,6:00pm-08:00pm,TELEMETRO REPORTA ESTELAR,10,2,1,100,under
2025-12-15,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA ESTELAR,35,1,1,100,matched
2025-12-15,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA ESTELAR,10,1,1,100,matched
